NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3648624;63;64;2;4;1;2;0.0623387;1341;1
3648664;63;;1;3;1;5;0.2296143;;2
3648674;44;47;2;3;2;3;0.5611026;2000;5
3648684;28;;1;3;1;3;0.9279157;;2
3648724;23;;1;3;1;1;0.092427;;1
3648734;60;61;1;3;2;2;0.6615165;400;3
3648764;53;;1;2;1;1;0.3080851;600;1
3648794;40;40;2;3;1;5;0.6223558;;2
3648854;34;;1;2;1;2;0.7382536;;1
3648884;38;36;1;2;1;5;0.5318124;;2
3648934;80;73;2;2;1;2;0.8335799;;0
3648944;65;66;3;4;1;2;0.537126;1500;3
3648974;76;;1;2;1;1;0.1170762;300;1
3648984;36;37;1;3;1;4;0.3289665;;1
3649024;19;;1;2;1;3;0.100361;;2
3649034;49;;2;3;1;3;0.2049356;;2
3649044;54;;1;1;1;1;0.2058039;;0
3649054;43;;2;3;1;2;0.51945;1164;1
3649064;75;;1;3;1;1;0.5739157;945;2
3649074;43;;2;3;1;2;0.851387;1200;2
3649084;68;61;1;2;2;2;0.3906301;1000;3
3649094;32;;1;3;1;2;0.1101663;600;1
3649134;39;;1;2;1;1;0.3797246;;0
3649174;44;44;2;3;1;3;0.6221299;1400;5
3649214;41;40;3;5;1;7;0.7988359;;3
3649224;69;57;1;3;1;2;0.261952;;1
3649284;45;46;1;2;1;2;0.857595;850;3
3649294;58;;1;1;1;2;0.3789262;300;2
3649304;37;;1;1;1;1;0.1117689;;0
3649324;49;44;2;2;1;4;0.8500483;1600;2
3649334;30;33;2;3;1;5;0.0107496;1244;0
3649354;51;51;4;5;1;7;0.9889745;2500;4
3649374;39;;2;3;1;3;0.5974729;1250;2
3649524;59;57;2;2;1;2;0.7415484;1200;2
3649544;59;;2;4;1;3;0.077848;1500;3
3649564;88;;1;0;1;1;0.0118447;;0
3649574;54;;1;2;2;2;0.3641696;500;3
3649584;29;;2;2;1;2;0.4786029;;1
3649644;21;24;2;3;1;7;0.5122341;1083;3
3649664;59;63;2;2;1;2;0.3478003;1000;2
3649684;88;88;2;2;1;2;0.263668;;2
3649704;44;45;2;4;1;3;0.0663325;3000;2
3649714;53;;2;4;1;1;0.099637;1300;1
3649724;62;;1;1;1;1;0.6273492;;0
3649744;59;59;1;2;1;2;0.459748;;2
3649774;47;;2;2;1;3;0.270022;;2
3649794;88;;1;2;1;1;0.3217666;;2
3649804;72;;1;1;1;1;0.2739603;;1
3649824;70;71;2;3;1;2;0.761585;1794;5
3649834;65;62;1;2;1;2;0.5670444;700;7
3649854;63;63;1;4;1;2;0.8083196;2258;1
3649864;50;48;2;4;1;3;0.7658046;1000;4
3649884;54;;1;0;1;1;0.2214226;;0
3649904;62;55;2;3;1;3;0.5693503;500;2
3649924;26;;1;2;1;3;0.4603414;;1
3649934;83;;1;3;2;1;0.1181378;600;1
3649954;54;60;1;2;2;2;0.8762434;400;3
